English	Bengali	Tamil
Blood Pressure Monitor - Self Measurement	রক্তচাপ মাপার মনিটর - নিজে মাপার নির্দেশা	இரத்த அழுத்த கண்காணிப்பு - சுய அளவீட்டு
1) Connect the blood pressure cuff to the reader machine.	১) রক্তচাপ মাপার নলের অগ্রভাগ মনিটরের সাথে সংযোগ করুন।	1) இரத்த அழுத்த சுற்றுப்பட்டையை கணிப்பு இயந்திரத்தோடு இணையுங்கள்.
2) The “arrow” on the the cuff should be pointing downwards on the inside of your arm.	২) যে কাপড়টা আছে ওটাকে কাফ বলে। ওখানে একটা তীর চিহ্ন আছে। সেটাকে নীচের দিকে ⇨ দিয়ে এবং হাতের ভিতরের দিকে রেখে কাফটা বাধঁতে হবে।	2) சுற்றுப்பட்டை மீது உள்ள “அம்பு” உங்கள் கையின் உட்புறத்தில் கீழ்நோக்கி சுட்டிக்காட்ட வேண்டும்.
(!) The cuff should be positioned 1 to 2 cm above your elbow joint.	(!) কাফের নীচের বর্ডারটা কনুই থেকে ১ - ২ সেমি উপরে রাখতে হবে।	(!) உங்கள் முழங்கை மூட்டுக்கு மேலே 1 (ஒன்று) முதல் 2 (இரண்டு) செ.மீ வரை சுற்றுப்பட்டை வைக்கப்பட வேண்டும்.
3) The BP cuff should fit snugly onto your arm. It should not feel loose.	৩) ঢিলাঢালা ভাবে কাফটা বাঁধলে হবে না, মোটামুটি হাল্কা টাইট করে বাঁধতে হবে।	3) இரத்த அழுத்த சுற்றுப்பட்டை உங்கள் கையை சுற்றிப் பொருத்தமாக இருக்க வேண்டும். அது தளர்வாக உணரக்கூடாது.
4) Do not bend the tube during blood pressure measurement.	৪) কাফের সাথে যে নলগুলো আছে সেগুলো ভাঁজ করা যাবে না।	4) இரத்த அழுத்த அளவீட்டின் போது குழாயை வளைக்கக் கூடாது.
5) Rest your entire arm on a table while measuring your blood pressure.	৫) রক্তচাপ মাপার সময়, বাকি হাত একটা টেবিলের উপর আরাম করে রাখুন।	5)நீங்கள் உங்கள் இரத்த அழுத்தத்தை அளவிடும்போது உங்கள் முழு கையை ஒரு மேஜையில் வைக்கவும்.
Place the cuff at the same level as your heart.	দেখতে হবে কাফটা যেন হৃদপিন্ডের সাতে এক লেভেলে থাকে।	உங்கள் இதயத்தின் அதே மட்டத்தில் சுற்றுப்பட்டையை வைக்கவும்.
6) Press the “Start/Stop” button to start measuring your BP. Wait for 1 minute until 3 numbers appear.	৬)  রক্তচাপ মাপার জন্য “Start/Stop” বাটন চাপুন। এক মিনিট অপেক্ষা করুন যতক্ষন তিনটি নম্বর না আসে।	6) உங்கள் BP ஐ/இரத்த அழுத்தத்தை அளவிட தொடங்க “Start / Stop” பொத்தானை அழுத்தவும். 3/மூன்று எண்கள் தோன்றும் வரை 1 /ஒரு நிமிடம் காத்திருங்கள்.
7) The top number is your Systolic blood pressure	৭)   উপরের সংখ্যটি উপরের রক্তচাপ (সিস্টোলিক)	7) முதல் எண் உங்கள் “சிஸ்டாலிக்” இரத்த அழுத்தம்.
The middle number is your Diastolic blood pressure	মাঝের সংখ্যটি নিচের রক্তচাপ (ডাইস্টোলিক)	நடுத்தர எண் உங்கள் “டயஸ்டாலிக்” இரத்த அழுத்தம்.
The bottom number is your Pulse rate.	নীচের সংখ্যটি পাল্স রেট	கீழே உள்ள எண் உங்கள் துடிப்பு வீதமாகும்.