BE VERY CAREFUL WHEN TRANSLATING THIS, IT'S MEDICATION PRESCRIPTION!!!		
English	Bengali	Tamil
Dose and Frequency	দিনে ওষুধ খাবার পরিমান	
Drug Name + Form/Amount	ওষুধের নাম এবং ধরন	
Indications	রোগের লক্ষন	
Tablet		
Side effects	পার্শ্ব প্রতিক্রিয়া	
**Stop the medicine and see the doctor immediately if you develop any symptoms of allergy such as swelling of the eye, difficulty breathing and skin rashes.	**আপনার যদি অ্যালার্জিজনিত কোনও উপসর্গ যেমন চোখের ফোলাভাব, শ্বাস নিতে সমস্যা এবং ত্বকে ফুসকুড়ি দেখা দেয় তবে ওষুধটি বন্ধ করুন এবং অবিলম্বে ডাক্তারের সাথে দেখা করুন।	
1 tablet every morning with or without food	প্রতিদিন সকালে খাবারের সাথে অথবা খালি পেটে ১ টা ট্যাবলেট	
1 tablet every night with or without food	প্রতিরাতে  খাবারের আগে অথবা পরে ১ টা ট্যাবলেট	
1 tablet three times a day when needed with or without food	দরকার অনুযায়ী দিনে ৩ বার ১ টা করে ট্যাবলেট খাবারের আগে অথবা পরে  খেতে হবে	
1 tablet three times a day when needed 30 minutes before food	দরকার অনুযায়ী দিনে ৩ বার ১ টা করে ট্যাবলেট খাবারের ৩০ মিনিট আগে খেতে হবে	
1 tablet three times a day when needed with or without food.	দরকার অনুযায়ী দিনে ৩ বার ১ টা করে ট্যাবলেট খাবারের আগে অথবা পরে খেতে হবে	
1 tablet two times a day for 7 days after food	খাবারের পরে ,প্রতিবারে  ১টা ট্যাবলেট, দিনে ২বার, ৭দিন খেতে হবে 	
1 tablet two times a day when needed with or without food.	দরকার অনুযায়ী দিনে ২ বার ১ টা করে ট্যাবলেট খাবারের আগে অথবা পরে খেতে হবে	
10 mL three times a day when needed with or without food	১০ মিঃলিঃ করে দিনে ৩ বার খাবারের আগে অথবা পরে খেতে হবে	
2 tablets three times a day when needed	দরকার অনুযায়ী প্রতিবার ২টা ট্যাবলেট ,	
2 tablets three times a day when needed with food.	দরকার অনুযায়ী দিনে ৩ বার ২ টা করে ট্যাবলেট খাবারের সাথে  খেতে হবে	
2 tablets three times a day when needed with or without food.	দরকার অনুযায়ী দিনে ৩ বার ২ টা করে ট্যাবলেট খাবারের আগে অথবা পরে খেতে হবে	
2 tablets two times a day for 7 days after food	খাবারের পরে ,প্রতিবারে  ২টা ট্যাবলেট, দিনে ২বার, ৭দিন খেতে হবে 	
6 tablets every morning for 5 days with food.	প্রতিদিন সকালে খাবারের পরে ৬টা ট্যাবলেট, ৫দিন খেতে হবে 	
Suck 1 tablet three times a day when necessary.	দরকার অনুযায়ী দিনে ৩ বার ১ টা করে ট্যাবলেট চুষে খেতে হবে 	
Inhale 2 puffs – four times a day when needed.	২ বার টানবেন/ পাফ নেবেন দরকার অনুযায়ী দিনে  ৪ বার	
Apply thinly to affected areas two times a day when needed.	পাতলা করে দরকার অনুযায়ী ক্ষতিগ্রস্থ জায়গায় দিনে ২বার লাগাতে হবে	
Apply to (L) left, (R) right, or (B) both eyes(s) three times a day.	ডান এবং বাম দুই চোখে দিনে ৩বার লাগাতে হবে 	
Apply to affected areas two times a day when needed.	দরকার অনুযায়ী ক্ষতিগ্রস্থ জায়গায় দিনে ২বার লাগাতে হবে 	
Apply to affected areas two times a day.	ক্ষতিগ্রস্থ  জায়গায় দিনে ২বার লাগাতে হবে	
Take about 1-2 hours apart as it may reduce the absorption of the other medicines. May blacken stools. Stop once diarrhea resolves.	*অন্য ওষুধ খাবার ১ থেকে ২ ঘণ্টা পরে এই ওষুধ খেতে হবে যেন অন্য ওষুধগুলো শরীরে কাজ করতে পারে৷  *ডায়েরিয়া ভালো হয়ে গেলে এই ওষুধ খাওয়া বন্ধ করতে হবে ৷	
Abdominal Pain	পেটে ব্যথা	
Antibiotics	অ্যান্টিবায়টিক	
Antiseptic	অ্যান্টিসেপটিক	
Cough	কাশি	
Diarrhea	ডায়েরিয়া	
Gastric	ডায়েরিয়া হতে পারে	
May cause diarrhea	ডায়েরিয়া হতে পারে	
May cause drowsiness	ঘুম ঘুম ভাব আসতে.পারে	
May cause stomach discomfort	পেটে একটু অসুবিধা হতে পারে	
Nausea or Vomiting	গা গুলানো অথবা বমি বমি ভাব	
Nausea, Vomiting or Giddiness	গা গুলানো, বমি বমি ভাব অথবা মাথা ঘুরানো	
Pain or Swelling	ব্যথা অথবা ফুলে যাওয়া	
Pain, Fever or Swelling	ব্যথা ,জর অথবা ফোলা	
Rash or Itch	গায়ে র‍্যাশ অথবা চুলকানি	
Runny Nose or Itch	সর্দি অথবা চুলকানি	
Shortness of breath	নিঃশ্বাস নিতে অসুবিধা হলে	
Sore throat	গলা ব্যাথা 	
Muscle Pain	মাংশপেশিতে ব্যথা	