Wikipedia (EN)	English	Vietnamese	Simplified Chinese	Tagalog	Burmese	Kurmanji	Arabic	Swahili	Kibaku	Waha	Bura Pabir	Mandara
https://en.wikipedia.org/wiki/Novel_coronavirus	novel coronavirus	vi rút chủng mới	新型冠状病毒	novel coronavirus	နိုဗယ် ကိုရိုနာဗိုင်းရပ်စ်	vîrûsa Koronayê ya nû	فيروس الكورونا المستجد	virusi vya kwanza vya korona	kasuwa nam bǝlin nǝr korona vairus	habara kuza coronavirus	koronavairus na bǝlin	labare coronavirus
	older people	người cao tuổi	长者	matatanda	အသက်ပိုကြီးသူများ	kal û pîr	الأشخاص الأكبر سناً	watu wazee	nji hal haliyere	nguzakha undu	mji na hal	emgyegwar-mala
	openwho	openWHO	openWHO	openwho	အိုးပင်းဟူး သင်တန်း	OpenWHO: aplikasiyona xwendinê ya Rêxistina Tenduristiyê ya Cîhanî	منصة التعلم المفتوحة لمنظمة الصحة العالمية	openwho	OpenWHO	openwho	OpenWHO	openwho
https://en.wikipedia.org/wiki/Disease_outbreak	outbreak	sự bùng phát	爆发	paglaganap	ရုတ်တရက် ပေါ်ပေါက်ခြင်း	derketina nexweşiyê	تفشي	mlipuko	sǝbar kasuwa akwa ntsa nji	faraghva ina	wutusǝr shilku akwa nca mji	kya kuza
https://en.wikipedia.org/wiki/Pandemic	pandemic	đại dịch	流行病	pandemiko	ကမ္ဘာအနှံ့ရောဂါဖြစ်ပွားခြင်း	belaya cîhanî	وباء عالمي	mlipuko wa ugonjwa	kasuwa nam ada sǝba ka dza tsi nji hangkurari akwa vi hang akwa dunya	kuza undsma	shilku na mdlǝta di wala tsǝɗi	kuza zlama kǝlaawa
https://en.wikipedia.org/wiki/Powered_air-purifying_respirator	PAPR	PAPR	动力过滤式呼吸器	PAPR	ပီအေပီအာရ်	NAPB: Nefeşkêşka Amêrger a ji bo Paqijkirina Bayê	كمامات تنقية الهواء التي تعمل بالطاقة	Kipumuzi kilichotiwa nguvu na Hewa	PAPR	PAPR	PAPR	PAPR
https://en.wikipedia.org/wiki/Pathogen	pathogen	mầm bệnh	病原体	pathogen	ရောဂါဖြစ်စေသော ပစ္စည်း	nexweşxere	عامل مسبب للمرض	pathojeni	su nkidi nkidu nam ada si aka kulangakur	inundat sangat kuza	maɗa suayeri na ana sǝntǝ shilku	aza sawan kuza
https://en.wikipedia.org/wiki/Patient	patient	bệnh nhân	病人	pasyente	လူနာ	nexweş	مريض	mgonjwa	ndǝ nam kula nga	unda kol yanga	mda na ngawa	urana lapikana
https://en.wikipedia.org/wiki/Positive_end-expiratory_pressure	PEEP	PEEP	呼气末正压	PEEP	အသက်ရှူထုတ်မှုအဆုံးတွင် အပေါင်းလက္ခဏာပြသည့် ဖိအား	Pestankirina Bêhn-Berdan a Erênî	ضغط نهاية الزفير الايجابي	Shinikizo la mwisho wa kupumua	PEEP	PEEP	PEEP	PEP
	peripheral oxygen saturation	độ bão hòa oxy trong máu ngoại vi	血氧饱和度	peripheral oxygen saturation	ခန္ဓာကိုယ်အစွန်အဖျားရှိ ဆံချည်မျှင်သွေးကြောများတွင်းရှိ အောက်ဆီဂျင် ပြင်းအား	têrbûna oksîjena çarkînarî	التشبع المحيطي بالأكسجين	oksijeni ya kuongezwa	su tara tsukar bwar mwarǝr masi akwa dza ndɛ	mbaɗa uɓas maghva	hankur shambar na ar mpika nakwa mamshi	zlalava úzhe am vuwe
	person under investigation	người đang được điều tra (PUI)	调查病例	person under investigation	စောင့်ကြည့်ခံနေရသူ	kesê binî peygerînê	شخص خاضع للتحقيق	Mtu aliye katika ukaguzi wa kimatibabu	ndɛ namtu ndada ʻya sǝr ngabasu ata kǝrari	undunda ta nighal kuza ngana tadiya	mda natǝ mda aɗi kuri ngaɓǝla abbǝr an COVID-19 wa	urana a zhara lapiyira na nde na
	person under monitoring	người đang được theo dõi (PUM)	监控病例	person under monitoring	စောင့်ကြည့်ခံနေရသူ	kesê binî zêrevanîkirinê	شخص خاضع للرقابة	Mtu aliye katika Ufuatiliaji	ndɛ namtu ndata kǝra ɓǝlatǝni akuyaka ngabasu ata kǝrari ko ata kǝra su	undunda ti zorlo	mda natǝ mda akwa ɓǝla ni kamnyar tsa tsukwari wala kǝɓa ka mdǝ damwa naka COVID19	urana a faɦyema ɗe atuwe ge jemhe ane an dade kuza na
https://en.wikipedia.org/wiki/Personal_protective_equipment	personal protective equipment	Thiết bị bảo hộ cá nhân	个人防护装备	personal protective equipment	တစ်ကိုယ်ရည် ကာကွယ်ရေး ကိရိယာ	Amûra Parastinê ya Kesane	معدات الوقاية الشخصية	kifaa cha kujinga	kariyir kanti ta ndǝta bui ko kǝɓa aka kasuwa	karyunda ti mog la thlina asbit thlina ndede	kariyeri ar nkamta kǝr ta kǝɓa ka shilku	kazlaŋe a fa hyema ge ira nda maga slera lapiyire
https://en.wikipedia.org/wiki/Pneumonia	pneumonia	viêm phổi	肺炎	pulmonya	နူမိုနီးယား	neks	الالتهاء الرؤي	nimonia	kasuwar nimoniya	pneumonia	shilkǝr nimoniya	nimoniya
https://en.wikipedia.org/wiki/Powered_air-purifying_respirator	Powered Air-Purifying Respirator	Mặt nạ phòng độc	动力过滤式呼吸器	Powered Air-Purifying Respirator	စွမ်းအားမြင့် လေထုသန့်စင်ပေးသည့် အသက်ရှူအားကူစက်	Nefeskêşka Amêrger a ji bo Paqijkirina Bayê	كمامات تنقية الهواء التي تعمل بالطاقة	Kipumuzi kilichotiwa nguvu na Hewa	kariyere namtu njir ɓǝla lapiyakur ada hati kadubar wul nji nam kulanga	kariyunda ta suɗuta la mog thlina sabiti	kariyeri natǝ mjir ɓǝla lapiyakur ana ha kamnyar wul mji na ngawa	naŋgyúwé nda zhera lapiyire nda kuza ŋanna
https://en.wikipedia.org/wiki/Personal_protective_equipment	PPE	PPE	个人防护装备	PPE	ပီပီအီး	APK: Amûra Parastinê ya Kesane	معدات الوقاية الشخصية	Kifaa cha Kujinga	PPE	PPE	PPE	PPE
	preexisting conditions	Bệnh nền	既存病情	mga dati nang karamdaman	နောက်ခံရှိပြီးသား အခြေအနေများ	rewşên pêşbûnî	الظروف القائمة مسبقاً	matatizo ya awali ya kiafya	kasuwa namtu ndɛ akǝr wacima	kuzunda hahad maghva mundu	shilku natǝ mda kari cama	lapikire ura kabuwe kuza ŋanna
https://en.wikipedia.org/wiki/Preparedness	preparedness	tính sẵn sàng	预备状态	kahandaan	အသင့် ပြင်ဆင်ထားမှု	amadeyîtî	الاستعداد	utayari	dǝmɦǝdzir ndɛ ko nǝr nji	kaɓavata	ɗǝmhǝdzi	kaɓavahé
	preprint	dự thảo	预印本	preprint	ကြိုတင်ပရင့်ထုတ်သည်	pêşçapkirinê	طباعة مسبقة	kabla ya kunakilishwa	labar ata kǝ	kwarat gwada kuza sosaiya	labar atakǝra kovid-19 amma mda aɗi kuri tsaɓǝla akwa kakaɗu wa	labare kalkale atire ge kuza ŋanna
	prevent	ngăn chặn	预防	pigilan	ကာကွယ်သည်	rêlêgirtin	وقاية	kinga	kanti	mulunta	nkamta	piyante
	prevention	phòng chống	预防	pag-iwas	ကာကွယ်တားဆီးခြင်း	rêlêgirtin	مكافحة	uzuiaji	kanti ta ʻya	thlahata	nkamta	piyantire
	protect	bảo vệ	保护	protektahan	ကာကွယ်သည်	parastin	يحمي	kinga	ɓǝlati	mulunt	ɓǝlata	faɦyema
	protection	sự bảo vệ	保护	proteksyon	ကာကွယ်မှု	parastin	حماية	kukinga	ɓǝlati su	mulunta	ɓǝlata su	fanu-ɦyema
	protocol	phác đồ	协议	protocol	ပရိုတိုကောလ်/ အစဉ်အလာ ပြုမူလုပ်ဆောင်ချက်	protokol	بروتوكول	itifaki	nuwɛ su namtu ndǝ ɗǝmɦɛ	yardata nda magaghva ina	tsawa wala doka natǝ mdǝ ɗǝmha	ŋalape kalkale ge ɗàbavan duksà
https://en.wikipedia.org/wiki/Patient_Under_Investigation	PUI	PUI	调查病例	PUI	ပီယူအိုင်	KBP: Kesê Binî Peygerînê	شخص خاضع للتحقيق	Mtu aliye katika ukaguzi wa kimatibabu	PUI	PUI	PUI	PUI
	PUM	PUM	监控病例	PUM	ပီယူအမ်	KBZ: Kesê Binî Zêrevanîkirinê	شخص خاضع للرقابة	Mtu aliye katika Ufuatiliaji	PUM	PUM	PUM	PUM
https://en.wikipedia.org/wiki/Quarantine	quarantine	cách ly	检疫隔离期	quarantine	ခွဲခြားထားရှိသောအချိန်ကာလ	kerentîne	الحجر الصحي	mtengo	saka namtu ndata ndǝɦǝba ndǝnam aka kasuwa kura dzawa ƙǝɓa aka nji dwam	fata njaɗa kabga kuza	saka natǝ mda a vi mdǝ laga naka shilku kamnyar aɗe wutu mji wa	tla ura aɗaba kuza ge lokte
https://en.wikipedia.org/wiki/Remdesivir	remdesivir	thuốc remdesivir	瑞德西韦	remdesivir	ရီမယ်ဒီစီဗာ	remdesivir: dermanê dijvîrûsan	ريمدسيفير	remdesivir	kuzugu namtu ndadi kurai tǝmacini apǝri ata mǝzi tsai korona vairus wɛ	ghwinunda kada da mbataɗ tundu ama sinan bolwo	kudzugu natǝ mda aɗi kuri tamata abbǝr a tsi koronavairus wa	Kurguna kuza na a dzamava am fitarkande atikwa
	respiratory	(thuộc về) hô hấp	呼吸的	respiratoryo	အသက်ရှူလမ်းကြောင်းဆိုင်ရာ	henaseyî	تنفسي	mfumo wa kupumua	su tubwar mpikɛ	pagh sunfi	lakur mpika	puwa-shifa
https://en.wikipedia.org/wiki/Respiratory_disease	respiratory illness	bệnh về đường hô hấp	呼吸系统疾病	sakit sa respiratoryo	အသက်ရှူလမ်းကြောင်းဆိုင်ရာ နေထိုင်မကောင်းမှု	nexweşiya henaseyî	مرض جهاز تنفسي	ugonjwa wa mfumo wa kupumua	kusuwar bwar mpikɛ	kuza pagh sunfi	shilku tǝbwar lakur mpika	kuza puwa shifa
	response	phản ứng	回应	sagot	တုံ့ပြန်မှု	bersiv	استجابة	kukabiliana na janga	ʻya su ata kǝra su	dadunda mog thlina pagh sunfi dole sai sansinak mog mede	ɗǝmhur su natu mda a hara	namsa ge mela
	risk	nguy cơ	风险	panganib	အန္တရာယ်	talûke	خطر	hatari	ʻya su namtu ata mǝzi si aka ʻyantadzi	ɗusakaka	su laga na ɗimi na tsoktǝ wutu mda	hatsariye
https://en.wikipedia.org/wiki/Reverse_transcription_polymerase_chain_reaction	RT-PCR	Phản ứng tổng hợp chuỗi phiên mã ngược	逆转录聚合酶链反应	RT-PCR	ပြောင်းပြန်အဓိပ္ပါယ်ပြန်ဖော်သည့် ပိုလီမာအေ့စ်အင်ဇိုင်း ချိန်းများ တုံ့ပြန်မှု	Rûnivîsa Berevajî - Kardaneweya Zincîrî ya Polîmêrasê		RT-PCR	RTPCR	RT-PCR	RT-PCR	RT-PCR
	rumour	tin đồn	谣言	bali-balita	ကောလာဟလ	gotegot	إشاعة	uvumi	labar kura aka kǝ kura thlilɛ	gwadan thliɗing thliɗing	gari na kula dǝlpu	kishen-kishen
https://en.wikipedia.org/wiki/Influenza-like_illness	SARI	SARI	严重急性呼吸道感染	SARI	ဆားရ်စ် ခေါ် ဆိုးရွားပြင်းထန်သည့် အသက်ရှူလမ်းကြောင်းဆိုင်ရာ ကူးစက်ရောဂါ	THDT: Teşeneyên Henaseyî yên Dijwar û Tûj	العدوى التنفسية الحادة الوخيمة	Maambukizi Makali ya Mfumo wa Kupumua	SARI	SARI	SARI	SARI
https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome	SARS	SARS	非典型性肺炎	SARS	ဆားရ်စ်	SARS: Nexweşiya Kulbûna Siyê ya Tûj	المتلازمة التنفسية الحادة الوخيمة	Maambukizi Makali ya Mfumo wa Kupumua	SARS	SARS	SARS	SARS
https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2	SARS-CoV-2	SARS-CoV-2	非典冠状病毒2型	SARS-CoV-2	ဆားရ်စ် - ကိုရိုနာဗိုင်းရပ်စ် -၂	SARS-KoV-2	سارس كوف 2	Maambukizi Makali ya Mfumo wa Kupumua-CoV-2	SARSCoV-2	SARS-CoV-2	SARS-CoV-2	SARS-CoV-2
https://en.wikipedia.org/wiki/Spontaneous_breathing_trial	SBT	SBT	自主呼吸试验	SBT	အက်စ်ဘီတီ ခေါ် အလိုအလျောက် အသက်ရှူပုံ စစ်ဆေးမှု	Ceribandina Henaskirinê ya Jixweber (CHJ)	اختبار التنفس التلقائي	jaribio la kupumua kivyako	SBT	SBT	SBT	SBT
	screening	(khám) sàng lọc	筛查	pagsuri	ရောဂါရှိမရှိ စမ်းသပ်ခြင်း	saxtî kirin	فحص	ukaguzi wa kimatibabu	whalir wulba ndɛ akuyake ndǝ zǝndiba kasuwarni	gwada tundu	lakur car mda akwa nca mji naka shilku	gwata-ura ge diya nazu awanwa
https://en.wikipedia.org/wiki/Quarantine#Self_quarantine	self-quarantine	tự cách ly	自我检疫隔离	self-quarantine	မိမိဖာသာ ခွဲခြားစောင့်ကြည့်ခြင်း	xwe-kerentîne (kirin)	حجر ذاتي	kujitenga	njai gǝ dukur ngɛ kura waima adzǝ ngɛ kadubar gɛ adiyada bara ka waima bui kasuwa ko njai adzǝ ngɛ wɛ	tsuhurata tala ghang	ndzǝndzi afiya gǝ duku ma gǝ dzama abbǝr ga aɗi lapiya wa	tla ire ge nja mba
https://en.wikipedia.org/wiki/Sepsis	sepsis	nhiễm trùng huyết	败血症	sepsis	ပြည်တည်နာ	jehrbûna xwînê	إنتان	sepsisi	kwayar kulangakur nam akwa masi	kuzunda maghva	su na ana sǝntǝ shilku akwa mamshi	kuza am uzhé
https://en.wikipedia.org/wiki/Serology#Serological_surveys	serological survey	khảo sát huyết thanh học	血清学检查	serological survey	သွေးရည်ကြည်တွင်းရှိ ပဍိပစ္စည်းများကို ဆန်းစစ်လေ့လာခြင်း	vekolîna avxwînî	استقصاء علم أمصال	uchunguzi wa kutambua hatari ya kupata maambukizi	nkǝrti zǝndir su ata kǝra masi pam pam	gwada tuɓas	nkǝrta suayeri na akwa kuta mamshi	gwata úzhe
https://en.wikipedia.org/wiki/Influenza-like_illness	Severe Acute Respiratory Infections	Nhiễm trùng hô hấp cấp tính nặng	严重急性呼吸道感染	Severe Acute Respiratory Infections	ဆားရ်စ် ခေါ် ဆိုးရွားပြင်းထန်သည့် အသက်ရှူလမ်းကြောင်းဆိုင်ရာ ကူးစက်ရောဂါ	Teşeneyên Henaseyî yên Dijwar û Tûj	العدوى التنفسية الحادة الوخيمة	Maambukizi Makali ya Mfumo wa Kupumua	SARI	kuza pagh sunfi kusa tund sosaiya	shilku na mwavǝr na tsukwa lakur mpika	maɗala guza puwa shifa
https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome	Severe acute respiratory syndrome	hội chứng suy hô hấp cấp tính nặng	非典型性肺炎	Severe acute respiratory syndrome	ဆိုးရွားပြင်းထန်သည့် အသက်ရှူလမ်းကြောင်းဆိုင်ရာ ရောဂါလက္ခဏာစု	nexweşiya kulbûna sîhê ya tûj	المتلازمة التنفسية الحادة الوخيمة	Maambukizi Makali ya Mfumo wa Kupumua	kasuwa nam kulɗa tubwar mpikɛ	kuza sunfa bija	shilku na mwavǝr na ar bwar lakur mpika	maɗala kuza puwa shifa
https://en.wikipedia.org/wiki/Shortness_of_breath	shortness of breath	khó thở	气短	pangangapos ng hininga	အသက်ရှူကြပ်ခြင်း	neks	ضيق التنفس	matatizo ya pumzi	nkidukurir mpikɛ	pagh sunf thliɗek thliɗeka	hara mpika ka bwani	cukwire puwa-shifa
	sick	bị ốm	生病的	may sakit	နေမကောင်းသော	nexweş	مريض	kuugua	kula nga	kuza	ngawa	lapikire
https://en.wikipedia.org/wiki/Command_center#Military_and_government	situation report	báo cáo tình hình	形势报告	ulat sa sitwasyon	အခြေအနေဆိုင်ရာ အစီရင်ခံစာ	rapora rewşê	تقرير الحالة	ripoti ya hali	rupotu ata kǝra su namtu ndɛ akwa	kwarat njuka amndelo	labar ar su na akwa mwa atakǝra shilku	labare nazu amikwa ɗe
https://en.wikipedia.org/wiki/Sneeze	sneeze	hắt hơi	打喷嚏	bumahing	နှာချေခြင်း	pişkîn	عطاس	kupiga chafya	wachihi	watsiya	wacǝhi	atisha
	soap	xà phòng	肥皂	sabon	ဆပ်ပြာ	sabûn	صابون	sabuni	sampul	sabulu	sabul	sapuna
https://en.wikipedia.org/wiki/Social_distancing	social distancing	hạn chế tiếp xúc xã hội	社交距离	social distancing	လူမှုရေးအရ ခပ်ခွာခွာနေခြင်း	dûrbûna civakî	التباعد الاجتماعي	umbali kati ya mtu na mwingine	kǝnta kǝba aka nji wato kura vu kǝr ngɛ akwa ntsa nji	rega kasaghva ndundu	kǝmta lukwa wala kǝɓa ka mji	nja gyegyiye an zlama kǝlaawa
https://en.wikipedia.org/wiki/Sore_throat	sore throat	đau họng	喉咙痛	masakit na lalamunan	လည်ချောင်းနာခြင်း	êşa qirikê	التهاب الحلق	koo linakwaruza	gyang nam aka mɓulku akwa wuya	wulkat kwarak	kǝtǝr fulam	suwa mbakulala
https://en.wikipedia.org/wiki/Oxygen_saturation_(medicine)	SpO2	SpO2	血氧饱和度	SpO2	အက်စ်ပီအိုတူး/ ခန္ဓာကိုယ်အစွန်အဖျားရှိ ဆံချည်မျှင်သွေးကြောများတွင်းရှိ အောက်ဆီဂျင် ပြင်းအား	SpO2: amûra sehkirina mêjera oksîjenê di xwînê de	التشبع المحيطي بالأكسجين	Oksijeni ya kuongezwa	SpO2	SpO2	SpO2	SpO2
https://en.wikipedia.org/wiki/Spontaneous_breathing_trial	spontaneous breathing trial	thử nghiệm cho tự thở	自主呼吸试验	spontaneous breathing trial	အလိုအလျောက် အသက်ရှူပုံ စစ်ဆေးမှု	ceribandina henase ya jixweber	اختبار التنفس التلقائي	jaribio la kupumua kivyako	nkǝrti ko ndata mǝzi ɓǝla badicini mpikɛ	nighapta kaɗa da pighat sunfi	nkǝrta natu mda a hara ka ngaɓǝla wala tsa a tsokta hara mpika kula sur dlara	gwata ura ge puwa shifa
	spread	lây truyền	传播	paglaganap	ကူစက်ပျံ့နှံ့သည်	teşene kirin	الانتشار	kuenea	tǝtǝlntadzi	kwito	yatǝdzi	diga kuza ge ndumele
	suspect case	ca nghi nhiễm	疑似病例	hinihinalang kaso	သံသယရှိဖွယ်ရောဂါ	rewşa gumankirî	حالة مشتبه فيها	kisa kinachoshukiwa	su nam tara ʻya namtu ndɛ tǝmacini	undunda ta nighal man kafkisa kuza	shilku natu mda aɗi kuri ngaɓǝla kǝra wa	una a dzamava an kuza na
https://en.wikipedia.org/wiki/Symptom	symptoms	triệu chứng	症状	mga sintomas	ရောဂါ လက္ခဏာ	nîşan(ên)	الأعراض	dalili	suyere namtu kasuwa ada tsanti ka sǝba	skeba kuza tundu	lalamayeri na ar shilku	nalamaha mara kuza
https://en.wikipedia.org/wiki/Syndrome	syndrome	triệu chứng	综合征	syndrome	ရောဂါ လက္ခဏာစု	nîşana hevdem	عرض	dalili za pamoja	alamar kulangakuryere	maraghvaha kuza tundu	suayer na ncanta mda tsaka shilku	nalamaha kuza
https://en.wikipedia.org/wiki/Therapy	therapy	liệu pháp (điều trị)	治疗	therapy	ကုထုံး	çareserkirin	علاج	tiba	na ndɛ kuzugu ka ndɛ bui lapiyakur	mbuk tewa kuza	jaktǝ na kudzugu aka mda na baitu wutu lapiya	melanuhe ge urana ndza lapikana
https://en.wikipedia.org/wiki/Tissue_(biology)	tissue	khăn giấy	纸巾	tisyu	တစ်ရှူးစက္ကူ	destmal	منديل	tishu	pepa nǝr fwavunta diɗɛ	takarda masa jivo	thlalir kakaɗu ar kǝkǝrǝmta diɗi	tishu
	transmission	sự lây truyền	感染	pagkahawa	ကူးစက်သည်	veguhestin	انتقال	kuenea	tǝtǝlntadzir kasuwa	valt kuza mundu	yatǝdzǝr shilku	zlalava kuza am dagava uraha
	treatment	điều trị	治疗	panggagamot	ကုသမှု	derman kirin	العلاج	matibabu	na kuzugu ala ndɛ ka dzǝ ya lapiya	valt ghwini	hara kudzugu	ga slera an kurgune ge shante lapiyire
https://en.wikipedia.org/wiki/Triage	triage	phân loại bệnh nhân	分诊	triage	ရောဂါပြင်းထန်မှုအလိုက် ဦးစားပေးကုသမှု	cudakirin (a yên nexweş)	فرز المرضى	kupimwa	na ndɛ dlarɛ kadubar kasuwarni ani ada bara dlarɛ bet bǝtu	valt tamoko anjivan jivo anga laha kusa kuza	baɗitǝr wulhu mda natu shilku ni wutu ni ka mwavǝr	zhera urana yaike wégé ane na zuŋŋwe
	underlying health conditions	bệnh lý nền	基础病	mga dati nang problema sa kalusugan	နောက်ခံ ကျန်းမာရေးအခြေအနေများ	rewşên tenduristî yên bingehîn	الظروف الصحية الكامنة	matatizo mengine ya kiafya	kasuwa namtu wacima dzadai	kuzunda sa hahaɗe	shilku natu ca ma aɗi	kuzana awa urana
https://en.wikipedia.org/wiki/Vaccination	vaccination	tiêm phòng	疫苗	pagbabakuna	ကာကွယ်ဆေးထိုးခြင်း	tamandin	اللقاح	chanjo	kuzugǝr rigakafi	ghwina mulunt kuza	kudzugur rigakafi	rigakafiye kuza
	ventilation	thở máy thông khí	通气功能	bentilasyon	လေဝင်လေထွက်	badarî	التهوية	kusiadia kupumua	bui sambar nam ɗaku	wativa javat safaka	sur mpika na ar mdǝ na ngawa	naza fare puwa shifa
https://en.wikipedia.org/wiki/Virulence	virulence	độc lực	致病力	bagsik	ပြင်းအားများသော	bedî (mêjera dijwariya vîrûsan)	حدة الوباء	ukali wa ugonjwa	ɗǝna sǝr vu su laka namtu ata mǝzi si aka kasuwa laka	bijaɗuka kuza ngane	ngal na ar mwavǝrkur suayeri na ana sǝntǝ shilku	aza gwata lakire kuza ŋanna vavaye am vuwe
https://en.wikipedia.org/wiki/Virus	virus	vi rút	病毒	virus	ဗိုင်းရပ်စ် ပိုး	vîrûs	الفيروس	virusi	vairus	inat sangat kuza	su rakka natǝ nca aɗa tsoktǝ wuta wa na ana sǝntǝ shilku	kuza
	virus	vi rút	病毒	virus	ဗိုင်းရပ်စ်ပိုး	vîrûs	فيروس	virusi	vairus	ina hunda sangat kuza	vairus	kuza
https://en.wikipedia.org/wiki/Zoonosis	zoonotic	lây truyền từ động vật sang người	人畜共患病	zoonotic	တိရိစ္ဆာန်ကြောင့် ကူးစက်သည့်ရောဂါ	ajalî (vegirtina nexweşiyan ji ajalan)	مرض حيواني المنشأ	maambukizi ya kutoka kwa wanyama	kasuwa nam ada buidzi akwa ntsa nji amma waci ndada bui tǝdar tubwar mawi	kuzunda da sangat kuzaha sakwidi man avla ginauha		
